Dataset,Model,Accuracy,Recall,F1 Score,Precision,AUC
GSE163678_RAW,CanCell_Cap,0.9765503717623989,0.9765320507504768,0.9815324353085474,0.9905976690089903,0.9981180492209599
GSE163678_RAW,Cancer_Finder,0.9689517117411554,0.9689028941039888,0.9765782433678294,0.989550981192516,0.9976283273903309
GSE163678_RAW,PreCanCell,0.8959882343328703,0.8955137241894021,0.9335082369176017,0.9858293830474418,0.9662743824345119
GSE163678_RAW,SCEVAN,0.5495547021815508,0.5538241239892183,0.6953641751886034,0.9827125466050022,0.9662743824345119
GSE163678_RAW,CopyKAT,0.7981861263175096,0.815517533457564,0.8754587475028938,0.9835335619445912,0.9662743824345119
GSE163678_RAW,ikarus,0.3844268322575374,0.37532133676092544,0.5384020741356472,0.9854166279562534,0.963858252480858
GSE163678_RAW,pure_classifier,0.9795734945665495,0.9796832241479393,0.9835561412997755,0.9910040418798562,0.9981406234163511
GSE168652_RAW,CanCell_Cap,0.9827376293590747,0.9991690211068639,0.982719754079215,0.9832333038922639,0.998197600414295
GSE168652_RAW,Cancer_Finder,0.9493869032089747,0.9975070633205917,0.9491551585970074,0.9533843025458694,0.9975809563224034
GSE168652_RAW,PreCanCell,0.9577789372988955,0.9534651819843776,0.957789909455116,0.9578813676937231,0.9839957664035567
GSE168652_RAW,SCEVAN,0.9598660753108966,0.9987387538888421,0.9767945267959443,0.9948878897715143,0.9839957664035567
GSE168652_RAW,CopyKAT,0.9533437690233934,0.9989040633957175,0.9733790493161252,0.9950065735213746,0.9839957664035567
GSE168652_RAW,ikarus,0.9920862683711628,0.9934352667442247,0.992085874627482,0.9920876467590496,0.995058078178955
GSE168652_RAW,pure_classifier,0.955909209496478,0.9980887485457869,0.9557434527547877,0.9590204688635788,0.998060394915367
GSE176031_RAW,CanCell_Cap,0.6176955388950922,0.7610310179117519,0.6836099394154098,0.8574783244593788,0.7797277138021347
GSE176031_RAW,Cancer_Finder,0.48093794863614614,0.9480122324159022,0.5510880026647973,0.885703891228948,0.650418337071263
GSE176031_RAW,PreCanCell,0.6497048971127771,0.5220620358235037,0.70863051194712,0.8207425989334524,0.6662375043315603
GSE176031_RAW,SCEVAN,0.37895464454724304,0.0896520963425513,0.4816087079903632,0.6810148146080366,0.6662375043315603
GSE176031_RAW,CopyKAT,0.33673632158238953,0.9458715596330275,0.39125188191564525,0.8736908425818519,0.6662375043315603
GSE176031_RAW,ikarus,0.8782899984048492,0.0,0.8213782982958981,0.7713933212979901,0.30485350030000236
GSE176031_RAW,pure_classifier,0.4799276864997076,0.9624290083005679,0.5493943846924201,0.8898929347323944,0.6626207474473086
GSE180665_RAW,CanCell_Cap,0.9869573924798478,0.9986566597552784,0.9867431242425343,0.9870108513698814,0.9793822891031269
GSE180665_RAW,Cancer_Finder,0.8145879898673819,0.9440407392573096,0.793303578836794,0.7949060656437047,0.6950173432225503
GSE180665_RAW,PreCanCell,0.5650126657726121,0.5668402281093247,0.6026168931016129,0.6994141892583473,0.6012156197764948
GSE180665_RAW,SCEVAN,0.43009983609000146,0.3080765340873909,0.4428233023682842,0.8299603821320021,0.6012156197764948
GSE180665_RAW,CopyKAT,0.4283117270153479,0.31363302944566696,0.44357671907793117,0.827541786632347,0.6012156197764948
GSE180665_RAW,ikarus,0.5963343763969602,0.7160267780511529,0.6079541659886047,0.6208486021705297,0.4910380119853466
GSE180665_RAW,pure_classifier,0.8270749515720459,0.9651351299803551,0.8010644770734486,0.8140818561909581,0.7172409353155305
